epoch	loss	acc	val_loss	val_acc
1	0.948750	0.721008	0.713684	0.835294
2	0.193536	0.949580	1.032655	0.776471
3	0.224598	0.953782	0.744131	0.823529
4	0.065388	0.984034	1.402871	0.764706
5	0.020949	0.992437	0.575897	0.870588
6	0.007121	0.999160	0.340215	0.911765
7	0.008113	0.998319	0.263928	0.952941
8	0.015781	0.995798	0.276645	0.923529
9	0.007310	0.999160	0.259295	0.923529
10	0.008609	0.998319	0.244662	0.935294
11	0.004722	0.998319	0.272234	0.923529
12	0.002964	0.999160	0.258147	0.941176
13	0.001794	1.000000	0.253061	0.941176
14	0.005909	0.999160	0.246977	0.941176
15	0.003655	0.998319	0.243727	0.941176
16	0.003706	0.999160	0.242104	0.941176
17	0.002616	1.000000	0.241618	0.941176
18	0.002801	0.999160	0.240913	0.941176
19	0.007837	0.998319	0.239395	0.941176
20	0.003573	0.999160	0.237712	0.941176
21	0.005472	0.999160	0.234579	0.941176
22	0.002893	0.999160	0.234328	0.941176
23	0.001534	1.000000	0.233793	0.941176
24	0.003999	0.999160	0.234684	0.941176
25	0.002020	1.000000	0.234035	0.941176
26	0.002401	1.000000	0.233985	0.941176
27	0.001321	1.000000	0.232560	0.941176
28	0.001407	1.000000	0.233803	0.941176
29	0.002883	0.999160	0.231091	0.941176
30	0.001287	1.000000	0.231120	0.941176
31	0.002928	0.999160	0.231351	0.941176
32	0.004272	0.999160	0.231886	0.941176
33	0.003280	0.999160	0.232775	0.941176
34	0.001454	1.000000	0.233434	0.941176
35	0.001045	1.000000	0.232173	0.941176
36	0.001008	1.000000	0.232054	0.941176
37	0.001516	1.000000	0.231604	0.941176
38	0.002833	0.999160	0.232437	0.941176
39	0.006735	0.998319	0.232348	0.941176
